team,years_competing,championships,winningest,rank
Brawn GP,1,1,1,1
Mercedes,12,7,0.583333333,2
Red Bull,15,4,0.266666667,3
McLaren,53,12,0.226415094,4
Ferrari,70,15,0.214285714,5
Alfa Romeo,11,2,0.181818182,6
Matra,6,1,0.166666667,7
Williams,45,7,0.155555556,8
Lotus,43,6,0.139534884,9
Brabham,31,4,0.129032258,10
Benetton,16,2,0.125,11
Cooper,19,2,0.105263158,12
Maserati,11,1,0.090909091,13
Renault,27,2,0.074074074,14
Tyrrell,29,2,0.068965517,15
BRM,22,1,0.045454545,16
